param A_ji:=  
	1  1   0
	1  2   3
	2  1   1
	2  2   4.5
	3  1   1
	3  2   2.5
	4  1   1
	4  2   0.5
	5  1   2
	5  2   3
	6  1   3
	6  2   1.5
	7  1   3
	7  2   4.5
	8  1   4
	8  2   0
	9  1   4
	9  2   2
	10 1   4
	10 2   3 
	
	#1	1    0
	#1	2    3
	#2   1	 0
	#2	2    4
	#3   1	 2
	#3	2    3
	#4   1	 2
	#4	2    0
	#5   1	 4
	#5	2    0
	#6   1	 4
	#6	2    3
	#7   1	 3
	#7	2    3.5
	#8   1	 3
	#8	2    0.5
	#9   1	 1
	#9	2    0.5
	#10  1	 0
	#10	2    2
	#11  1	 1
	#11	2    2.5
	#12  1	 3
	#12	2    1.5
	#13  1	 1
	#13	2    4.5
	
	#1  1   0
	#1  2   1
	#2  1   0
	#2  2   3
	#3  1   0
	#3  2   5
	#4  1   1
	#4  2   0.5
	#5  1   1
	#5  2   1.5
	#6  1   1
	#6  2   2.5
	#7  1   1
	#7  2   4.5
	#8  1   2
	#8  2   1
	#9  1   2
	#9  2   2
	#10 1   2
	#10 2   3 
	#11 1   3
	#11 2   1.5
	#12 1   3
	#12 2   2.5
	#13 1   3
	#13 2   4.5
	#14 1   4
	#14 2   1
	#15 1   4
	#15 2   4
	#16 1   5
	#16 2   0.5
	#17 1   5
	#17 2   2.5
	#18 1   5
	#18 2   3.5

    #1  1   0
	#1  2   2
	#2  1   0
	#2  2   3
	#3  1   1
	#3  2   0.5
	#4  1   1
	#4  2   1.5
	#5  1   1
	#5  2   2.5
	#6  1   1
	#6  2   3.5
	#7  1   1
	#7  2   4.5
	#8  1   2
	#8  2   1
	#9  1   2
	#9  2   2
	#10 1   2
	#10 2   3
	#11 1   2
	#11 2   4
	#12 1   2
	#12 2   5
	#13 1   3
	#13 2   0.5
	#14 1   3
	#14 2   1.5
	#15 1   3
	#15 2   2.5
	#16 1   3
	#16 2   3.5
	#17 1   4
	#17 2   0
	#18 1   4
	#18 2   1
	#19 1   4
	#19 2   5
	#20 1   5
	#20 2   1.5
	#21 1   5
	#21 2   2.5
	#22 1   5
	#22 2   3.5


	
	#1  1  0 
	#1  2  3
	#2  1  0 
	#2  2  5 
	#3  1  0 
	#3  2  6 
	#4  1  1 
	#4  2  1.5 
	#5  1  1 
	#5  2  3.5
	#6  1  1 
	#6  2  4.5 
	#7  1  1 
	#7  2  6.5 
	#8  1  2 
	#8  2  1 
	#9  1  2 
	#9  2  3 
	#10 1  2 
	#10 2  5 
	#11 1  3 
	#11 2  1.5 
	#12 1  3 
	#12 2  2.5 
	#13 1  3 
	#13 2  4.5 
	#14 1  3 
	#14 2  5.5 
	#15 1  4 
	#15 2  0 
	#16 1  4 
	#16 2  4 
	#17 1  4 
	#17 2  6 
	#18 1  5 
	#18 2  0.5 
	#19 1  5 
	#19 2  2.5 
	#20 1  5 
	#20 2  3.5 
	#21 1  5 
	#21 2  4.5 
	#22 1  6 
	#22 2  0 
	#23 1  6
	#23 2  3
	#24 1  6
	#24 2  4
	#25 1  6
	#25 2  5
	
;
       
param Vu:=
Drone1 5
Drone2 5
;

param t_charge_i:=
Drone1 1
Drone2 1
;
